GATEWAY_ID;EUI;METER_ID;real_volume;HOUR_FRONZEN;DATA_TIME;ALARM_CODE;DIAGNOS;Seq;GATEWAY_TIME;FREQ;SF;RSSI;LSNR;PORT;HOUR0_FRONZEN;HOUR1_FRONZEN;HOUR2_FRONZEN;HOUR3_FRONZEN;HOUR4_FRONZEN;HOUR5_FRONZEN;HOUR6_FRONZEN;HOUR7_FRONZEN;HOUR8_FRONZEN;HOUR9_FRONZEN;HOUR10_FRONZEN;HOUR11_FRONZEN;HOUR12_FRONZEN;HOUR13_FRONZEN;HOUR14_FRONZEN;HOUR15_FRONZEN;HOUR16_FRONZEN;HOUR17_FRONZEN;HOUR18_FRONZEN;HOUR19_FRONZEN;HOUR20_FRONZEN;HOUR21_FRONZEN;HOUR22_FRONZEN;HOUR23_FRONZEN;COMM_VOLTAGE;METER_TIME
385301481433800E;3F53012B00001A61;00KA21016434    ;339.399;;2025/01/22 13:20:58.000000000;0000       ;           ;11489;;924,0;12              ;-117    ;-9,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A530121010207B4;6353012AF1039363;00KA24020469    ;195.058;;2025/01/22 13:20:57.000000000;0000       ;           ;2439;;923,0;12              ;-108    ;-17,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A530121010207B4;6353012AF1039495;00KA24020458    ;4.624;;2025/01/22 13:20:57.000000000;0000       ;           ;2448;;924,0;12              ;-106    ;-9,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A53012A00000077;3F53012B00002489;00KA21016424    ;230.181;;2025/01/22 13:20:57.000000000;0000       ;           ;11454;;923,0;12              ;-102    ;7,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A530121010207B4;6353012AF1037032;00KA24020503    ;53.793;;2025/01/22 13:20:56.000000000;0000       ;           ;2440;;923,0;12              ;-106    ;-10,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A53012A00000077;3F53012B00001DF5;00KA21016423    ;323.404;;2025/01/22 13:20:55.000000000;0000       ;           ;11435;;923,0;12              ;-108    ;5,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
3853014814180006;3353012813AF2363;00KA20012829    ;2018.055;;2025/01/22 13:20:54.000000000;0000       ;           ;12412;;924,0;12              ;-117    ;-11,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A530121010207AA;3F53012B00005D60;00KB23006423    ;213.04;;2025/01/22 13:20:53.000000000;0000       ;           ;6859;;924,0;12              ;-112    ;-19,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A53012101020750;3F53012B00001B7B;00KA21016422    ;325.183;;2025/01/22 13:20:50.000000000;0000       ;           ;11501;;924,0;12              ;-108    ;-14,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A53012A00000194;3353012813AF15C5;00KA20012815    ;984.333;;2025/01/22 13:20:46.000000000;0000       ;           ;12256;;923,0;12              ;-109    ;-1,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A53012A00000195;3F53012B00004508;00KA22022815    ;130.449;;2025/01/22 13:20:45.000000000;0000       ;           ;9713;;924,0;12              ;-113    ;-20,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A53012A00000077;3F53012B00000CE4;00KA21016416    ;409.259;;2025/01/22 13:20:44.000000000;0000       ;           ;11137;;923,0;12              ;-113    ;8,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A53012A00000077;3F53012B00005D61;00KB23006420    ;501.176;;2025/01/22 13:20:43.000000000;0000       ;           ;6854;;924,0;12              ;-117    ;-5,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A53012A00000195;3F53012B00003E73;00KA22022825    ;240.392;;2025/01/22 13:20:41.000000000;0000       ;           ;10661;;923,0;12              ;-115    ;-15,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
5A53012A0000053F;3353012813998D92;00KA20002814    ;5048.74;;2025/01/22 13:20:41.000000000;0000       ;           ;15592;;923,0;12              ;-105    ;0,0;3;;;;;;;;;;;;;;;;;;;;;;;;;                    ;2025/01/22 00:00:00.000000000
